"","lfcM","pM","lfcV","pV"
"DUSP3-Dual specificity phosphatase 3",0.323070002208145,0.522644853028574,0.234509107278014,0.565783434396993
"fau-ubiquitin fubi and ribosomal S30",0.335133233084802,0.234685586033253,-0.163049216424339,0.522203203107246
"FER-Tyrosine- kinase Fer",-0.071826030230477,0.861609375075638,-0.193567149005219,0.449634973101624
"foxj1-Forkhead box J1",0.943119794424063,0.0718702075619224,2.54190693822336,1.22785336003665e-10
"GlyP-Glycogen phosphorylase",0.564918071359057,0.0103029764872373,0.704692876080915,0.000145075369109797
"Hist1h2bf-histone H2B type 1",0.0214701753521088,NA,0.84642874065098,NA
"HIST1H2BM-histone H2B type 1",-0.339171324451947,0.0910854246049396,0.129476218030298,0.505313995813007
"HSPD1-60 kDa heat shock mitochondrial",0.101074514149967,0.704844743818249,-0.065678163695241,0.754060328609415
"Ik-Red",-0.0349739752018445,0.931326480114542,-0.0821914128873973,0.748540627009021
"IL16-pro-interleukin-16 isoform X1",-0.180224684998632,0.654898958336035,-0.677586623301973,0.00633800811000182
"ilf2-interleukin enhancer-binding factor 2",-0.736972778307298,1.58611796437641e-06,0.384655991407681,0.0117214089762247
"IRF1-Interferon regulatory factor 1",0.111423621251048,0.824721220162565,0.403691429953674,0.172118162507373
"Itga4-Integrin alpha-4",-0.0678078210424201,0.77729539678287,-0.7278634584727,5.38413726044448e-09
"ITPKB-Inositol-trisphosphate 3-kinase B",-0.0562329626876158,0.824628747362876,-0.0857237106182773,0.616550307929117
"JAGN1-jagunal homolog 1",0.495528106523906,0.300443420465152,-0.0945521381584059,0.842098589562792
"Kmt2e-histone-lysine N-methyltransferase 2E isoform X1",-0.0733737552940445,0.713274019692976,0.125908552232504,0.352421936559935
"MAP3K14-Mitogen-activated kinase kinase kinase 14",0.115999583222771,0.732261858245545,0.0730208631023173,0.783371543429097
"med1-Mediator of RNA polymerase II transcription subunit 1",-0.129820135733446,0.517448103138451,0.291718389017571,0.0317505158523301
"MEF2C-myocyte-specific enhancer factor 2C isoform X2",0.357491662321728,0.336603230715609,1.44566907818617,4.67036654460605e-09
"Mitf-microphthalmia-associated transcription factor isoform X2",-0.139948546495633,0.634657362711689,0.738348096940881,2.2776827725994e-05
"MLH1-DNA mismatch repair Mlh1 isoform X1",-0.32428374656091,0.112768006957514,0.220427697365192,0.220804368923736
"MSRB1-Methionine-R-sulfoxide reductase B1",0.142973092833332,0.779828361209155,-0.509945963691575,0.0925167370650516
"myd88-a-NA",-0.121711628229771,0.654919787081091,1.06120000476976,4.29729456090001e-12
"NFKB1-nuclear factor NF-kappa-B p105 subunit isoform X2",0.118306468727268,0.770619499333366,0.757253086419181,0.000677471544800947
"orai1-Calcium release-activated calcium channel 1",0.37410609158149,0.212428043742171,0.212545289016476,0.426048262326925
"Otol1-phage tail",0.289508524625817,0.404979772325426,0.749600433644009,0.00157807205017686
"Otub1-Ubiquitin thioesterase OTUB1",-0.483102477518053,0.00255112127214552,0.785427415098144,5.06587001590827e-09
"otud5a-OTU domain-containing 5",-0.00261610422353158,0.996024802929141,0.438293114365856,0.074428748790939
"OTUD7B-OTU domain-containing 7B isoform X1",0.640414281265136,0.000328886204337955,1.00623006779311,5.20979764632057e-11
"Peli2-E3 ubiquitin- ligase pellino homolog 1",-0.00266136721101284,0.996024802929141,-0.182780303580592,0.524626040967287
"Pik3ap1-Phosphoinositide 3-kinase adapter 1",0.137638932105537,0.746547108110891,0.260358521635248,0.358455591229196
"Plcl2-Inactive phospholipase C 2",-0.146704643421467,0.676315713368964,-0.983842899376719,9.03989456120689e-07
"POLR3B-DNA-directed RNA polymerase III subunit RPC2",0.179090542114679,0.411085506922162,0.0243241344087707,0.908777716800956
"POLR3F-DNA-directed RNA polymerase III subunit RPC6",0.0142887563603826,0.970306176246474,-0.295011251327143,0.150445261058317
"Polr3k-DNA-directed RNA polymerase III subunit RPC10",-0.301699231436176,0.483441563431106,0.133101651414433,0.725250447669125
"PPP2R1A-Serine threonine- phosphatase 2A 65 kDa regulatory subunit A alpha isoform",-0.344458060185277,0.00548438067356663,0.215129132072061,0.0616875688038814
"Prkcd-kinase C delta type isoform X1",-0.204700192438947,0.516222551249573,1.7407707220547,1.73659791256158e-20
"Prkce-kinase C epsilon type isoform X2",0.311568510731344,0.402716786965467,0.446911380304766,0.104589925370397
"psen2-Presenilin-2",-0.00901680916884383,0.978318297469916,0.811946654266994,5.26741166285906e-08
"Psmd5-26S proteasome non-ATPase regulatory subunit 5",0.271977069849435,0.330533501375641,0.54305072413893,0.00664568091581362
"PSMF1-Proteasome inhibitor PI31 subunit",0.196426293428914,0.538213157863988,0.0169074627070302,0.955552761069412
"Pten-Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity phosphatase PTEN",0.712066043202166,0.128420719261953,0.284964981981969,0.523929610827348
"PTK2B--tyrosine kinase 2-beta isoform X1",0.083012220824025,0.865584889266681,1.2326557860475,3.12059380408007e-07
"PTPN22-tyrosine- phosphatase non-receptor type 12 isoform X1",-0.0434250470628136,0.858677629132651,-0.144182705050595,0.329048467588414
"RABGEF1-rab5 GDP GTP exchange factor isoform X1",0.386980238163254,0.217138835097812,0.0613605083568102,0.849755959361931
"rbpj-recombining binding suppressor of hairless isoform X3",0.329056202156968,0.010369381626971,0.171249033256464,0.159839823882274
"rc3h1-roquin-1 isoform X1",0.102416622050754,0.503515569614997,0.0125938511634342,0.930804925170092
"RpL40-ubiquitin-60S ribosomal L40",0.228813301067505,0.201808040362729,-0.298466609130852,0.0326840942579501
"RPS27A-Ubiquitin-40S ribosomal S27a",0.360448070957927,0.0697842030200406,-0.315114774469474,0.0631653847567761
"RPS6-40S ribosomal S6",0.126043206474879,0.740670034711457,-0.319226850130548,0.185693832019683
"samhd1-Deoxynucleoside triphosphate triphosphohydrolase SAMHD1",-0.0275930735200979,0.976938450586372,0.485863602699364,0.35995278799794
"selk-Seleno K",-0.0300592235105306,0.926716359740977,0.507986066147471,0.000892101120218256
"SERINC3-serine incorporator 3",0.427482636330241,0.13629317293722,0.404479249409145,0.0895536653837006
"Shb-SH2 domain-containing adapter B",-0.00686061169885542,0.971463394689575,0.0712429370479883,0.542333273591276
"sirt2-NAD-dependent deacetylase sirtuin-2",0.515995988162579,0.276979983489996,-0.65159736429451,0.0732272156743581
"SOD2-Superoxide dismutase [Mn] mitochondrial",-0.0995091317754576,0.669835519171957,-0.348895470356645,0.0148708137912875
"sox8-Transcription factor Sox-8",0.09974768024101,0.736050041257938,-0.961964528016286,1.58807250679142e-09
"Sox9-Transcription factor SOX-9",-0.217520223004853,NA,0.778378532229954,0.129761197889081
"sox9-b-NA",0.317432003495729,0.684058427835871,1.16866623290808,0.0138006639093161
"Stat5b-signal transducer and activator of transcription 5B-like",0.0708582521806765,0.898646142129606,1.81757736058673,1.34133971708672e-12
"STK-tyrosine- kinase Yes",0.249096751331061,0.532774788720012,0.622270988824567,0.0190658243010056
"tbk1-Serine threonine- kinase TBK1",-0.0470824306208547,0.877767852002662,0.476733189505178,0.00228714529065207
"Tgfb2-transforming growth factor beta-2 isoform X2",0.195492719088671,0.814714370455726,-0.342732709392324,0.535445400237763
"thbs1-EGF-like repeat and discoidin I-like domain-containing 3",1.08869521898795,NA,-1.0878963544361,0.0574981808634348
"timm50-Mitochondrial import inner membrane translocase subunit TIM50",-0.302530720466939,0.012537051683984,0.00678811463869809,0.964899489410871
"TLR2-Toll-like receptor",-0.162514971240705,0.80345094771047,-0.54171511105742,0.166316514348869
"TLR6-toll-like receptor 13",0.501510544127472,0.14383809095575,-0.234848451796189,0.460889201007513
"TMEM173-Stimulator of interferon genes",0.22714699538649,0.710702018940503,0.0595482288216275,0.906391424233469
"Tnfaip3-Tumor necrosis factor alpha-induced 3",-0.00486995907222649,0.992187615863743,0.417208054097304,0.0951716605768741
"Tnk2-activated CDC42 kinase 1 isoform X1",-0.12334163477043,0.659924848079296,0.82424316489737,2.84793923419637e-07
"Tollip-Toll-interacting",-0.0525827726423898,0.825306166277186,0.272728832120302,0.0393575398345777
"Trim37-E3 ubiquitin- ligase TRIM37 isoform X1",0.215256182486374,0.560654200453588,0.7920674492186,0.000613099091772253
"TROVE2-60 kDa SS-A Ro ribonucleo",-0.10456028785232,0.791446745557918,-0.488368259527866,0.0301463927578515
"Tusc2-Tumor suppressor candidate 2",0.227288486210138,0.123026227195421,0.209058396709131,0.0897324071971818
"Vnn1-Pantetheinase",0.31989142172997,0.385603728731235,0.0958074419875345,0.783129616220686
"Wwp1-NEDD4-like E3 ubiquitin- ligase WWP1 isoform X2",0.208506626417028,0.525999690681195,0.65378209287388,0.00209244938307771
"Zap70-tyrosine- kinase SYK-like",0.0478143998410765,0.914601914725222,0.142204303835451,0.602524997683136
"ZRANB2-Zinc finger Ran-binding domain-containing 2",0.0371687173015563,0.90330119208818,-0.667040707139551,4.50456689087401e-06
